,bounding_box,date,inferred,keywords,lang,lat,lng
0,"['51.7657055', '51.9771532', '0.6993788', '1.0268034']",2018-01-27 09:28:53,True,video game burlesque thurs march feat striptease boylesque interactive games,en,51.8896903,0.8994651
1,"['33.7036216', '34.337306', '-118.6681776', '-118.1552947']",2017-10-25 05:00:02,True,macho rock preening faggotry collide part boylesque series,en,34.0536909,-118.2427666
2,"['33.7036216', '34.337306', '-118.6681776', '-118.1552947']",2018-04-07 18:08:11,False,award winning international boylesque stars bring quirky brand new french inspired cabaret experience oui oui stars luminous pariah paris original trojan original moscato extatique pictured april,en,39.748099,-104.995687
3,"['42.3730513', '42.4181407', '-71.1345919', '-71.0734817']",2019-05-07 16:01:47,True,mixing lineup dynamic dance boylesque punky mysterious damon rebell saturday,en,42.3875968,-71.0994968
4,"['55.839126', '55.879126', '-4.2663157', '-4.2263157']",2019-05-02 17:00:21,True,tonight go full steam ahead internationally famous boylesque superstar tom harlow brings evening filled showtunes filth free cocktails bucks,en,55.859126,-4.2463157
5,"['-37.85067', '-37.77545', '144.89709', '144.9913426']",2017-01-14 12:33:35,True,mama gave boylesque tank wrist band wearing drinking hoping cry later,en,-37.8142176,144.9631608
6,"['40.477399', '40.9161785', '-74.25909', '-73.7001809']",2017-05-30 17:21:23,True,boylesque crystal chesties inches tassels tiny,en,40.7127281,-74.0060152
7,"['40.5700235', '40.7394026', '-74.0419691', '-73.8556336']",2016-06-28 02:03:58,True,fairy prince boylesque one lewd alfred douglas firestarter,en,40.6501038,-73.9495823
8,"['51.3473219', '51.6673219', '-0.2876474', '0.0323526']",2016-04-11 12:15:30,True,check first part three part interview vienna boylesque festival producer via,en,51.5073219,-0.1276474
9,"['-52.8213687', '-29.0303303', '-179.059153', '179.3643594']",2016-01-20 05:14:06,True,get involved auckland pride festival briefs eye popping boylesque safari express x double,en,-41.5000831,172.8344077
10,,2015-02-18 19:20:35,True,baaack come satisfy inner geek lovely clockettes boylesque dare,en,,
11,"['-37.85067', '-37.77545', '144.89709', '144.9913426']",2014-12-09 05:01:07,True,get uni work done friday night go boylesque cry art simone good plan,en,-37.8142176,144.9631608
12,,2018-12-31 02:02:57,True,remember young lad spraying whipped cream everywhere prince darling nikki molesting electric guitar guys made jolie mystique mr boylesque started wink smile cabaret plan coming back soon,en,,
13,"['-41.3623801', '-41.1435402', '174.6131062', '174.8954104']",2016-07-24 05:37:57,True,introducing mother wonderful world boylesque,en,-41.2527531,174.718470941495
